rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014
0.11553,0.11561,0.226035,0.266324,0.207029,0.210777,0.16133,0.22008,0.0982275,0.143317,0.157796,0.161521,0.247392,0.216349,0.232728,0.806974,0.135698,0.801497
0.294973,0.239461,0.406194,0.398636,0.356415,0.318609,0.376033,0.31945,0.21634,0.400093,0.283054,0.484577,0.25883,0.813692,0.272348,1.13047,0.310192,2.63288
0.315501,0.282632,0.343964,0.649763,0.587088,0.586678,0.469927,0.387854,0.445781,0.499755,0.275173,0.597401,0.420709,0.380853,0.651628,2.26161,0.208724,4.39457
0.502036,0.380478,0.623702,0.931224,0.68011,0.650639,0.532776,0.504749,0.34734,0.52899,0.464898,0.788113,0.662246,1.05291,1.00137,1.91427,0.578923,3.93394
0.301176,0.209746,0.381466,0.441729,0.413293,0.3135,0.404198,0.346128,0.275864,0.263256,0.278937,0.375389,0.396397,0.287842,0.464338,0.679284,0.135208,2.14545
0.202977,0.231622,0.353357,0.325639,0.232806,0.353189,0.321312,0.253955,0.190813,0.292614,0.259894,0.333758,0.424138,0.28254,0.570171,1.16805,0.589665,5.205
0.100686,0.0746427,0.147737,0.146034,0.146386,0.157398,0.129682,0.106857,0.0686765,0.103399,0.10984,0.120707,0.112648,0.16359,0.214532,0.492967,0.0949206,0.611968
0.387978,0.330885,0.488023,0.713177,0.67521,0.668354,0.635372,0.411146,0.413791,0.533059,0.588461,0.593757,0.812453,1.08817,0.675196,4.024,1.03234,3.92895
0.274685,0.260561,0.445308,0.535942,0.496487,0.402189,0.518424,0.279391,0.306264,0.404635,0.363371,0.331497,0.430905,0.658355,0.496612,0.906326,0.393861,5.27602
0.500918,0.335627,0.624556,0.520707,0.521879,0.591025,0.582422,0.538421,0.362678,0.55707,0.323689,0.590996,0.349813,0.575236,0.326431,0.975393,0.197632,3.04844
0.197115,0.207781,0.326542,0.382123,0.345241,0.300406,0.291033,0.197933,0.205129,0.394675,0.265972,0.348732,0.215765,0.390004,0.391527,1.02365,0.289217,2.14004
0.139448,0.146009,0.251538,0.373671,0.288237,0.2242,0.205358,0.250504,0.15716,0.215999,0.152008,0.277087,0.310546,0.241506,0.203779,0.689986,0.294464,0.904521
0.242517,0.203013,0.294747,0.297665,0.281695,0.214892,0.259668,0.252901,0.174119,0.323031,0.139954,0.298778,0.293395,0.245295,0.515541,0.815291,0.283662,1.04238
0.135086,0.095864,0.130033,0.14535,0.178864,0.148122,0.196958,0.128638,0.0849499,0.118589,0.129803,0.161514,0.190965,0.191677,0.233226,0.38145,0.259366,0.759615
0.755523,0.672461,1.07686,1.13314,1.02837,0.983151,0.851382,0.791469,0.467404,0.930121,0.799403,0.945895,1.41335,1.05498,1.37334,5.82986,1.51486,4.6023
0.254855,0.131191,0.273089,0.354607,0.317846,0.326786,0.187342,0.192077,0.177913,0.224536,0.223434,0.224313,0.147415,0.386629,0.291331,0.594751,0.253008,1.23995
0.0983261,0.0824869,0.186409,0.225381,0.190806,0.164279,0.188778,0.132046,0.0793421,0.127421,0.124314,0.174563,0.125709,0.174963,0.270356,0.624568,0.235872,1.26522
0.514335,0.256028,0.532066,0.452329,0.539294,0.379925,0.480742,0.314757,0.328302,0.367413,0.284369,0.384943,0.314919,0.572753,0.423472,1.93146,0.439617,1.45
0.152506,0.160236,0.203812,0.260993,0.261878,0.193236,0.192357,0.271215,0.14634,0.182008,0.187514,0.256685,0.195195,0.356748,0.232527,0.846021,0.304675,3.50321
0.935311,0.763938,1.05872,1.21462,1.35447,0.961034,0.832801,0.816961,0.780805,1.4349,1.11115,1.62582,0.945652,1.1076,2.17261,3.3056,0.735252,14.907
0.478985,0.393559,0.515394,0.878363,0.672595,0.574293,0.581079,0.520174,0.387629,0.551004,0.456053,0.949851,0.532958,1.24536,1.81133,3.16216,1.74766,4.29002
