rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014
-0.572765,-0.385187,-0.501654,-0.0307972,0.0201485,-0.0768702,-0.121835,-0.265736,-0.338707,-0.865403,-0.177283,-0.328732,-0.160466,0.241119,-0.0513193,0.212403,1.65815,0.310479,1.42171
-0.38972,-0.0501856,-0.714224,0.0189178,0.280129,0.170686,0.198424,-0.357944,-0.332985,-0.409583,-0.176845,-0.181765,-0.177839,-0.597626,0.366586,0.0835804,0.797262,-0.0574605,1.53194
-0.561109,-0.599586,-0.775237,0.0400653,0.229919,0.0633802,-0.0863087,0.0526953,-0.304724,-0.814106,-0.340375,-0.365068,-0.0255881,-0.353909,-0.0232989,0.411863,1.24918,0.275413,1.95513
-0.412643,0.117124,-0.580465,0.151017,-0.0113408,0.164511,-0.185776,0.0495809,-0.37395,-0.331815,-0.219265,-0.475476,-0.172654,-0.373434,0.224705,-0.0772627,1.44028,-0.0398457,1.15357
-0.577969,-0.544663,-0.495224,-0.254673,-0.00737493,-0.00399049,-0.307954,-0.312516,0.0310416,-0.585939,-0.367816,-0.338015,-0.0240208,-0.297872,0.305161,-0.122863,1.16867,0.147377,2.58956
-0.469134,-0.312212,-0.514605,-0.188275,-0.0509051,0.0580773,-0.285082,-0.428296,-0.4475,-0.492767,0.115762,-0.139944,0.240679,-0.301217,-0.143144,0.530595,0.950281,-0.552878,2.45649
-0.534567,-0.503811,-0.700251,-0.43055,0.102579,-0.164337,-0.322341,-0.310593,-0.421318,-0.715431,-0.363738,-0.552872,0.180825,-0.397037,0.451698,0.826336,1.38353,0.790554,1.68857
-0.770217,-0.602171,-0.626102,-0.0727122,0.200215,-0.149377,-0.196568,-0.0735107,-0.169914,-0.576725,-0.440047,-0.226649,-0.270145,-0.374174,0.0586346,0.477456,1.36841,-0.366193,2.81679
-0.26823,-0.398241,-0.434784,0.0358866,-0.0531959,0.0141145,0.228012,-0.0774779,-0.243989,-0.597328,0.035939,-0.453954,-0.324712,-0.223684,0.257545,0.168,1.06212,0.230891,1.05248
-0.555123,-0.549331,-0.66185,-0.0920414,-0.115998,0.00671721,-0.157985,-0.147591,-0.2912,-0.756907,-0.210374,-0.429049,-0.00272376,0.271022,0.144716,0.731298,1.46819,-0.147249,1.53779
-0.892844,-0.54523,-0.486099,-0.100045,0.109073,-0.193948,-0.136582,-0.263237,-0.50044,-0.430245,-0.122961,-0.55154,0.12846,-0.0361414,0.533942,0.363089,1.39756,0.107582,1.66691
-0.590683,-0.315032,-0.683789,0.13049,0.175762,-0.043564,-0.26282,-0.0141715,-0.03991,-0.730005,-0.488812,-0.275955,-0.236912,-0.362698,0.0697173,0.0838691,1.59723,0.141652,1.81605
-0.403609,-0.434776,-0.511668,-0.469581,0.123944,0.0177572,-0.221507,-0.170289,-0.334809,-0.418839,-0.549738,-0.266053,0.0604144,-0.281784,0.415964,-0.115396,0.801124,-0.106127,2.85979
-0.754416,-0.401126,-0.881473,-0.36653,0.181977,-0.104508,-0.0175799,-0.11087,-0.354324,-0.340443,-0.368765,-0.677156,0.0401683,-0.120936,-0.344288,0.354945,1.96553,-0.0167031,2.3384
-0.693609,-0.308138,-0.326776,0.137319,0.193604,-0.00939449,0.0861533,-0.16331,-0.0488219,-0.475392,0.0387813,-0.30721,-0.486655,-0.247249,0.0695143,0.193608,0.957742,0.091427,1.31251
-0.625684,-0.454114,-0.591425,-0.240073,-0.104947,0.0532936,0.0280432,-0.386241,-0.469941,-0.307216,-0.22498,-0.232408,-0.0939607,-0.153582,-0.0868664,-0.0203918,1.37372,-0.0897043,2.73172
-0.778946,-0.53082,-0.786742,-0.442735,-0.113014,-0.148175,-0.302082,-0.446545,-0.278834,-0.662934,-0.0978766,-0.50133,0.16517,0.092065,0.082361,0.862632,1.31765,-0.082146,2.70621
-0.582146,-0.684655,-0.620967,0.00757766,0.0601556,0.0405666,-0.0803593,-0.24976,-0.720535,-0.453538,-0.0314902,-0.107279,0.122734,-0.169403,0.529054,0.519359,1.52471,-0.544551,1.49301
-0.485928,-0.606279,-0.624456,-0.0983568,-0.288156,-0.220144,-0.10694,-0.158625,-0.126121,-0.400133,-0.172104,-0.184212,-0.121788,0.000320174,0.0921697,0.427026,1.58584,-0.121852,1.51458
-0.468924,-0.19494,-0.565224,0.0997429,-0.0206349,0.109288,-0.13182,-0.311065,-0.354666,-0.337599,-0.358788,-0.516248,-0.0211741,-0.370957,-0.117861,0.0294938,1.04228,0.573445,1.94782
-0.397072,-0.385999,-0.606229,0.131896,0.257134,0.268532,-0.135337,0.0690272,-0.51436,-0.412795,-0.0911739,-0.705192,0.0607782,0.0348143,-0.168235,0.0670752,0.986397,-0.415532,1.95064
-0.416212,-0.469759,-0.216797,-0.094313,-0.302754,0.337305,-0.00834931,-0.214024,-0.200597,-0.486607,-0.233312,-0.40558,-0.152905,0.0106759,-0.144819,0.222752,1.09254,-0.582275,2.28484
-0.393716,-0.111923,-0.427918,-0.136508,-0.256836,0.303164,0.0120206,-0.108574,-0.343823,-0.431207,-0.169222,-0.172096,-0.12795,-0.332428,0.203134,-0.0478076,1.03028,-0.262261,1.79677
-0.457909,-0.330306,-0.6698,0.0726834,0.225367,-0.111786,0.0205787,-0.181253,-0.130161,-0.620111,-0.102555,-0.2252,0.166753,-0.32168,0.361664,-0.0770522,0.485786,0.176847,1.75439
-0.602953,-0.473129,-0.865888,-0.128341,-0.128274,0.00611968,-0.0745518,-0.177859,-0.489526,-0.347195,-0.101027,-0.277373,-0.123925,-0.143797,0.351083,0.89869,0.75406,-0.416544,2.31562
-0.382308,-0.224871,-0.263517,0.115562,-0.00338138,-0.0124543,0.0978218,0.1152,-0.1655,-0.497236,-0.0684867,-0.180033,-0.166412,-0.47859,0.260029,0.614627,0.702855,-0.533334,1.13366
-0.528123,-0.410141,-0.158453,-0.0353904,0.0531994,-0.0495354,-0.233229,0.0393636,-0.297125,-0.219143,-0.3747,-0.215238,-0.210772,-0.100746,0.179683,-0.0624408,1.08868,0.0232436,1.58923
-0.737097,-0.218141,-0.550645,-0.063886,-0.0868723,-0.18434,-0.378187,-0.166079,-0.307979,-0.876715,-0.0708655,-0.247444,0.0696464,0.066502,0.344781,0.165968,1.03741,0.0199481,2.19384
-0.205708,-0.246868,-0.545996,0.102929,0.0498752,0.225504,-0.0538549,-0.0275829,-0.241487,-0.569406,-0.719868,-0.219282,0.000832263,-0.392971,0.0364967,0.455642,0.772286,-0.0135622,1.64609
