sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015
208.671,202.788,196.485,189.66,185.32,184.003,183.346,189.953,200.288,210.027,209.222,217.255,220.423,220.499,220.646,221.867,219.606,218.01,219.209,232.483
141.186,137.589,135.535,132.458,128.4,124.981,120.924,123.227,128.192,132.996,128.259,132.831,134.049,133.959,134.885,137.688,138.773,143.694,152.57,169.836
340.923,328.521,316.831,306.93,301.597,299.777,298.128,306.714,325.028,350.83,370.569,393.559,401.959,400.646,399.594,403.584,408.629,420.711,444.337,493.373
157.899,156.43,154.65,153.007,151.249,150.447,149.009,154.304,164.444,175.256,176.737,187.635,195.424,200.271,203.999,206.811,205.483,207.543,213.653,230.009
325.427,312.065,298.235,285.929,277.769,277.363,283.931,303.368,329.329,354.775,363.856,375.426,375.38,365.296,351.497,338.646,328.202,325.489,328.627,339.988
150.141,148.767,146.561,141.681,136.158,131.819,127,129.519,136.059,143.611,142.364,151.955,158.15,161.909,164.4,167.073,166.182,167.473,170.378,177.616
209.816,201.503,192.822,184.442,178.439,175.799,175.627,183.343,197.208,211.377,214.812,223.64,226.757,225.772,221.811,217.255,210.436,208.261,210.978,223.244
330.206,318.635,307.057,295.143,285.954,283.046,287.683,306.685,334.575,361.902,374.694,390.279,396.262,397.421,399.682,405.593,413.213,432.45,466.873,519.426
119.9,116.888,114.29,110.811,107.251,104.675,100.563,101.864,106.081,109.946,105.458,111.075,114.422,116.62,119.338,123.33,125.294,129.175,136.877,153.771
199.072,190.282,179.837,168.22,158.934,153.155,149.242,151.517,159.22,167.603,167.461,175.882,179.856,181.491,184.169,191.853,203.931,231.968,284.035,370.787
195.43,188.369,183.26,177.067,169.863,164.299,159.403,163.54,172.728,183.335,185.028,195.952,201.068,202.585,204.482,208.002,210.672,219.73,238.527,275.014
160.373,152.356,145.925,140.697,138.73,139.409,139.884,145.607,154.709,164.707,164.208,171.126,174.191,174.172,174.456,176.539,177.267,180.88,190.718,216.66
287.985,279.598,270.181,261.336,257.758,263.082,274.587,296.901,322.227,343.125,348.615,358.392,362.369,364.506,368.83,377.631,387.62,402.824,426.634,471.801
180.243,176.732,172.665,167.868,164.217,162.723,163.107,171.378,185.089,199.444,203.731,215.405,221.76,223.004,222.699,222.667,220.824,225.26,239.261,272.472
289.256,281.132,275.261,272.253,275.11,286.065,303.803,332.716,369.682,405.96,425.604,444.53,446.962,434.589,416.423,400.17,384.806,377.415,383.532,413.03
213.595,207.045,198.635,187.878,177.894,172.548,169.404,176.745,189.278,201.949,202.889,210.992,214.556,214.334,212.462,211.396,209.329,213.763,232.194,276.798
221.254,219.423,219.183,219.716,222.106,227.434,233.984,248.852,269.611,291.136,304.345,323.39,333.273,336.772,341.525,349.632,356.982,366.832,383.322,421.585
225.304,220.82,215.874,209.548,204.192,199.579,195.168,199.885,211.548,227.041,233.76,246.668,251.837,252.546,254.365,259.003,261.792,268.724,282.98,310.439
149.892,143.66,138.652,133.943,129.947,127.909,126.23,132.999,145.149,158.315,161.578,171.874,177.535,179.711,179.882,179.761,177.735,180.361,189.571,206.112
195.986,193.098,189.046,184.01,181.206,182.52,187.233,200.295,217.909,234.199,240.136,253.035,261.325,265.995,270.252,277.085,284.582,298.023,318.274,349.213
229.759,222.587,217.745,214.197,211.49,211.93,214.496,226.683,248.309,276.192,295.449,320.132,334.44,340.777,343.898,345.462,344.1,347.33,360.101,399.445
285.214,279.373,272.045,264.573,260.421,260.702,264.288,279.797,304.346,329.954,341.045,352.141,350.96,342.79,335.262,334.656,341.833,363.037,398.778,451.302
223.122,215.052,208.084,202.267,197.869,195.414,193.759,200.825,213.373,226.659,229.254,240.909,247.887,250.193,249.561,248.739,246.55,248.626,252.505,262.109
219.747,208.011,198.136,190.197,183.476,177.85,170.633,170.605,173.306,176.183,170.313,175.479,178.497,178.407,178.288,181.096,183.888,192.627,207.602,241.923
130.744,129.464,127.43,124.224,119.502,115.343,110.953,112.066,116.272,121.884,119.878,127.746,132.241,133.314,133.089,133.601,131.489,132.705,137.401,148.914
268.136,262.635,256.666,250.778,248.395,249.938,252.747,264.534,285.177,310.629,329.045,350.658,360.812,362.212,362.005,367.595,378.61,406.268,458.254,548.88
