ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,umsy1,q1,q2,q3,q4,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
0.737695,0.906218,0.327299,0.420514,0.184554,0.0588235,1.47059, 573.198, 128.522, 82.7105, 28.6635, 1,0.128606,0.117946,0.0949183,0.0968415,245.279,9.40837,0.926809,11.3208,2.22682,9,0.5,8.70758,1.46191,9.52214,1.18425,147.825
0.818312,0.731978,0.366376,0.623806,0.402629,0.0588235,1.47059, 466.287, 134.235, 62.3936, 17.9559, 1,0.140043,0.0990761,0.124658,0.101135,293.116,9.46014,0.90725,11.2436,1.99701,9,0.5,9.45226,1.45856,9.33906,1.10597,150.651
1.39146,0.957828,0.359641,0.811475,0.44258,0.0588235,1.47059, 835.25, 158.363, 141.916, 55.8295, 1,0.0892611,0.0830031,0.0853599,0.0691101,420.814,9.42755,0.934857,11.0034,2.22285,9,0.5,9.2038,1.34254,9.18578,1.05296,133.856
0.813996,0.907669,0.30358,0.412438,0.148596,0.0588235,1.47059, 771.429, 177.844, 102.411, 19.1129, 1,0.146443,0.12041,0.102121,0.0879808,317.908,9.43086,0.964099,12.1603,2.55601,9,0.5,8.95793,1.43763,9.22607,1.1395,138.8
0.469253,0.849576,0.310082,0.313975,0.117618,0.0588235,1.47059, 420.795, 107.141, 53.6406, 14.3763, 0.999999,0.104078,0.125677,0.0998828,0.101234,219.209,9.48162,0.978513,9.80847,2.19791,9,0.5,8.14573,1.36983,9.09365,1.13954,138.849
0.258661,0.918142,0.274693,0.170333,0.0833426,0.0588235,1.47059, 316.055, 73.7417, 38.3697, 19.5254, 1,0.172704,0.171402,0.18287,0.145724,152.57,9.69327,0.956341,10.35,2.46068,9,0.5,8.92302,1.60713,8.81057,1.11336,140.295
1.52146,0.928037,0.371258,0.886732,0.427885,0.0588235,1.47059, 835.118, 171.709, 140.921, 51.0385, 1,0.104408,0.0878963,0.0958359,0.0850359,444.337,9.81139,1.00291,11.7578,2.29033,9,0.5,9.60334,1.29659,9.94486,1.14935,147.966
0.384505,0.893889,0.309036,0.287266,0.109154,0.0588235,1.47059, 347.862, 82.0096, 46.4614, 25.1156, 1,0.405068,0.164238,0.149554,0.138174,213.653,9.68305,0.954044,14.9513,2.68514,9,0.5,9.16491,1.41005,9.73348,1.27694,149.064
0.80538,0.897966,0.327969,0.516374,0.253175,0.0588235,1.47059, 622.369, 140.867, 89.4283, 18.6481, 1,0.101207,0.0810851,0.0663521,0.0599815,328.627,8.91813,0.899653,12.1285,2.54957,9,0.5,8.49868,1.44765,8.90191,1.12489,146.126
0.283576,0.929102,0.267767,0.169486,0.0736621,0.0588235,1.47059, 369.087, 83.6199, 44.2867, 10.2271, 0.999964,0.142095,0.157436,0.157455,0.123736,170.378,8.87734,0.91311,10.0717,2.51143,9,0.5,8.9643,1.62023,8.82875,1.13164,142.712
0.444304,0.727768,0.317045,0.314271,0.160123,0.0588235,1.47059, 375.79, 112.378, 42.8881, 10.1458, 0.999961,0.173796,0.130366,0.122919,0.116377,210.978,9.5952,0.945055,12.2377,2.5608,9,0.5,8.98011,1.45938,9.49809,1.15566,139.149
0.992028,0.968173,0.35893,0.828788,0.325971,0.0588235,1.47059, 598.788, 110.182, 102.68, 78.6457, 1,0.140044,0.0865337,0.0812799,0.0742356,466.873,9.71859,0.941419,13.1878,2.48301,9,0.5,9.23347,1.35923,9.58763,1.10144,136.393
0.268342,0.819122,0.263065,0.145501,0.062054,0.0588235,1.47059, 364.755, 101.03, 38.0449, 5.91832, 0.99731,0.267924,0.20302,0.19506,0.157814,136.877,9.52167,1.04204,11.8493,2.73809,9,0.5,8.49279,1.4797,8.56734,1.11455,144.536
0.61474,0.902719,0.32658,0.405859,0.173425,0.0588235,1.47059, 480.486, 108.34, 69.1426, 34.9597, 1,0.183157,0.145969,0.179124,0.13688,284.035,9.50403,0.902485,11.1288,2.17259,9,0.5,9.43918,1.39262,9.19615,1.05211,159.167
0.561051,0.932592,0.32073,0.350918,0.144575,0.0588235,1.47059, 460.207, 98.9807, 66.3498, 36.2206, 1,0.151349,0.136787,0.140083,0.125929,238.527,9.82483,0.984905,10.8268,2.21796,9,0.5,8.95858,1.35988,9.31676,1.08059,148.663
0.314624,0.873777,0.291803,0.239018,0.0776788,0.0588235,1.47059, 330.146, 82.0336, 40.6589, 14.9542, 1,0.238353,0.161191,0.15717,0.136407,190.718,9.52358,0.962963,12.7813,2.67805,9,0.5,9.13436,1.50913,9.361,1.1725,156.976
1.05037,0.8809,0.332036,0.652917,0.220284,0.0588235,1.47059, 785.194, 184.218, 112.097, 26.1748, 1,0.107519,0.093352,0.0762435,0.062821,426.634,9.3849,0.917708,11.9764,2.36307,9,0.5,8.97134,1.35982,9.10333,1.13166,148.094
